Date/Time	Parameter	Value	Parameter	Value	QF	QC Note
05/13/2018 21:47	xCO2_Air	721.9			4	"APOFF: xCO2 Trend (276.88) and Std (4.95) are greater than max value (20,8.01)"
05/28/2018 3:17	xCO2_SW	321.4			4	EPOFF: xCO2 trend of 34.39 is greater than max value (34.20)
06/06/2018 19:47	xCO2_Air	431.8			4	APOFF: xCO2 trend of 9.87 is greater than max value (9.45)
06/25/2018 22:17	xCO2_Air	415.2			4	APOFF: xCO2 trend of 2.53 is greater than max value (2.42)
07/04/2018 6:17	xCO2_Air	419.3	xCO2_SW	163.2	4	ZPPCAL: xCO2 = 13.12 not in range -10-10 ppm above/below zero
07/04/2018 6:47	xCO2_Air	449.2	xCO2_SW	183.5	4	ZPOFF: xCO2 = 11.72 not in range -10-10 ppm above/below zero
07/12/2018 20:46	xCO2_Air	464.8			4	APOFF: xCO2 trend of 48.70 is greater than max value (42.27)
08/11/2018 20:17	xCO2_Air	421.7	xCO2_SW	314.1	4	ZPPCAL: xCO2 = 13.17 not in range -10-10 ppm above/below zero
08/11/2018 21:17	xCO2_Air	400.8	xCO2_SW	280.4	4	ZPOFF: xCO2 = 11.42 not in range -10-10 ppm above/below zero
01/07/2019 18:17	xCO2_SW	250.6			4	EPOFF/EPON: EpressDiff = 42.02 not in range 9-13.5
04/25/2019 00:17	SST (C)	9.912	Salinity	29.688	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 03:17	SST (C)	9.816	Salinity	29.77	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 06:17	SST (C)	9.596	Salinity	29.594	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 09:17	SST (C)	9.358	Salinity	29.784	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 12:17	SST (C)	9.128	Salinity	29.804	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 15:17	SST (C)	8.982	Salinity	29.814	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 18:17	SST (C)	9.494	Salinity	29.954	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/25/2019 21:17	xCO2_SW	6478.4			4	EPOFF/EPON: EpressDiff = 9.22 not in range 9.5-13
04/26/2019 00:17	SST (C)	9.181	Salinity	29.429	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 03:17	SST (C)	9.205	Salinity	29.434	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 06:17	SST (C)	9.203	Salinity	29.374	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 09:17	SST (C)	8.751	Salinity	29.708	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 12:17	SST (C)	9.023	Salinity	29.531	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 15:17	SST (C)	9.1	Salinity	29.128	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 18:17	SST (C)	9.132	Salinity	29.15	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/26/2019 21:17	SST (C)	9.179	Salinity	29.182	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 00:17	SST (C)	8.946	Salinity	29.502	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 03:17	SST (C)	9.158	Salinity	29.269	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 06:17	SST (C)	8.926	Salinity	29.522	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 09:17	SST (C)	9.242	Salinity	29.245	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 12:17	SST (C)	8.989	Salinity	29.442	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 15:17	SST (C)	8.944	Salinity	29.497	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 18:17	SST (C)	8.968	Salinity	29.372	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/27/2019 21:17	SST (C)	8.746	Salinity	29.72	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 00:17	SST (C)	9.055	Salinity	29.574	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 03:17	SST (C)	9.097	Salinity	29.61	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 06:17	SST (C)	9.471	Salinity	29.34	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 09:17	SST (C)	9.26	Salinity	29.309	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 12:17	SST (C)	9.535	Salinity	29.166	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 15:17	SST (C)	9.188	Salinity	29.447	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 18:17	SST (C)	9.372	Salinity	29.225	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/28/2019 21:17	SST (C)	8.933	Salinity	29.544	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 00:17	SST (C)	9.484	Salinity	29.381	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 03:17	SST (C)	9.197	Salinity	29.475	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 09:17	SST (C)	9.215	Salinity	29.398	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 12:17	SST (C)	9.312	Salinity	29.385	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 15:17	SST (C)	9.928	Salinity	29.041	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 18:17	SST (C)	9.71	Salinity	29.119	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/29/2019 21:17	SST (C)	9.515	Salinity	29.311	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 03:17	SST (C)	9.831	Salinity	29.252	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 06:17	SST (C)	10.144	Salinity	29.188	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 09:17	SST (C)	9.818	Salinity	29.24	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 12:17	SST (C)	9.949	Salinity	29.171	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 15:17	SST (C)	10.091	Salinity	29.141	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 18:17	SST (C)	9.994	Salinity	28.942	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
04/30/2019 21:17	SST (C)	9.878	Salinity	29.1	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 00:17	SST (C)	9.996	Salinity	29.115	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 03:17	SST (C)	8.977	Salinity	29.625	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 06:17	SST (C)	9.8	Salinity	29.105	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 09:17	SST (C)	10.265	Salinity	28.958	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 12:17	SST (C)	9.979	Salinity	29.024	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 15:17	SST (C)	8.964	Salinity	29.523	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 18:17	SST (C)	10.232	Salinity	28.748	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/01/2019 21:17	SST (C)	9.97	Salinity	28.893	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 00:17	SST (C)	10.11	Salinity	29.025	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 03:17	SST (C)	9.084	Salinity	29.471	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 06:17	SST (C)	10.064	Salinity	29	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
