Date/Time	Parameter	Value	Parameter	Value	QF	QC Note
05/02/2019 09:17	SST (C)	9.377	Salinity	29.384	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 12:17	SST (C)	9.167	Salinity	29.467	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 15:17	SST (C)	9.798	Salinity	28.948	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 18:17	SST (C)	9.785	Salinity	29.11	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/02/2019 21:17	SST (C)	9.686	Salinity	29.127	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 00:17	SST (C)	8.976	Salinity	29.548	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 03:17	SST (C)	9.908	Salinity	29.167	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 06:17	SST (C)	8.591	Salinity	29.756	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 09:17	SST (C)	9.049	Salinity	29.508	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 12:17	SST (C)	9.209	Salinity	29.449	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 15:17	SST (C)	9.599	Salinity	29.192	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 18:17	SST (C)	8.629	Salinity	29.728	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/03/2019 21:17	SST (C)	9.058	Salinity	29.527	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 00:17	SST (C)	8.758	Salinity	29.692	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 03:17	SST (C)	8.557	Salinity	29.774	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 06:17	SST (C)	8.619	Salinity	29.749	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 09:17	SST (C)	9.322	Salinity	29.548	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 12:17	SST (C)	8.8	Salinity	29.687	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 15:17	SST (C)	8.779	Salinity	29.69	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 18:17	SST (C)	9.585	Salinity	29.441	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/04/2019 21:17	SST (C)	9.188	Salinity	29.558	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 00:17	SST (C)	8.999	Salinity	29.63	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 03:17	SST (C)	8.575	Salinity	29.792	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 06:17	SST (C)	8.751	Salinity	29.715	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 09:17	SST (C)	8.936	Salinity	29.651	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 12:17	SST (C)	8.922	Salinity	29.621	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 15:17	SST (C)	8.961	Salinity	29.639	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 18:17	SST (C)	8.921	Salinity	29.693	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/05/2019 21:17	SST (C)	9.872	Salinity	29.457	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 00:17	SST (C)	8.882	Salinity	29.712	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 03:17	SST (C)	8.794	Salinity	29.751	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 06:17	SST (C)	9.553	Salinity	29.599	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 09:17	SST (C)	8.886	Salinity	29.726	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 12:17	SST (C)	8.704	Salinity	29.74	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 15:17	SST (C)	8.815	Salinity	29.727	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 18:17	SST (C)	9.491	Salinity	29.535	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/06/2019 21:17	SST (C)	8.981	Salinity	29.7	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 00:17	SST (C)	9.159	Salinity	29.626	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 03:17	SST (C)	8.605	Salinity	29.825	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 06:17	SST (C)	9.729	Salinity	29.587	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 09:17	SST (C)	8.593	Salinity	29.83	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 12:17	SST (C)	9.026	Salinity	29.689	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 15:17	SST (C)	9.176	Salinity	29.647	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 18:17	SST (C)	9.702	Salinity	29.474	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/07/2019 21:17	SST (C)	9.356	Salinity	29.629	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 00:17	SST (C)	9.495	Salinity	29.599	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 03:17	SST (C)	8.676	Salinity	29.821	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 06:17	SST (C)	9.8	Salinity	29.569	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 09:17	SST (C)	8.504	Salinity	29.861	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 12:17	SST (C)	9.045	Salinity	29.699	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 15:17	SST (C)	9.196	Salinity	29.672	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 18:17	SST (C)	8.926	Salinity	29.769	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/08/2019 21:17	SST (C)	8.606	Salinity	29.844	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 00:17	SST (C)	9.615	Salinity	29.66	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 03:17	SST (C)	8.62	Salinity	29.806	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 06:17	SST (C)	8.724	Salinity	29.826	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 09:17	SST (C)	8.472	Salinity	29.884	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 12:17	SST (C)	10.24	Salinity	29.595	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 15:17	SST (C)	9.056	Salinity	29.746	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 18:17	SST (C)	10.011	Salinity	29.597	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/09/2019 21:17	SST (C)	8.735	Salinity	29.834	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 00:17	SST (C)	10.386	Salinity	29.62	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 03:17	SST (C)	8.736	Salinity	29.852	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 06:17	SST (C)	8.962	Salinity	29.831	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 09:17	SST (C)	9.002	Salinity	29.815	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 12:17	SST (C)	10.088	Salinity	29.65	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 15:17	SST (C)	8.999	Salinity	29.793	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 18:17	SST (C)	10.255	Salinity	29.52	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/10/2019 21:17	SST (C)	9.219	Salinity	29.771	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 00:17	SST (C)	10.253	Salinity	29.633	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 03:17	SST (C)	9.445	Salinity	29.742	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 06:17	SST (C)	8.735	Salinity	29.854	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 09:17	SST (C)	8.988	Salinity	29.841	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 12:17	SST (C)	10.094	Salinity	29.671	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 15:17	SST (C)	9.016	Salinity	29.791	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 18:17	SST (C)	9.176	Salinity	29.762	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/11/2019 21:17	SST (C)	10.189	Salinity	29.644	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 00:17	SST (C)	8.464	Salinity	29.93	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 03:17	SST (C)	9.276	Salinity	29.768	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 06:17	SST (C)	8.918	Salinity	29.765	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 09:17	SST (C)	8.658	Salinity	29.883	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 12:17	SST (C)	8.549	Salinity	29.871	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 15:17	SST (C)	9.887	Salinity	29.436	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 18:17	SST (C)	8.721	Salinity	29.815	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/12/2019 21:17	SST (C)	10.004	Salinity	29.545	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 00:17	SST (C)	9.288	Salinity	29.718	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 03:17	SST (C)	9.863	Salinity	29.62	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 06:17	SST (C)	9.279	Salinity	29.701	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 09:17	SST (C)	9.141	Salinity	29.765	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 12:17	SST (C)	9.326	Salinity	29.699	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 15:17	SST (C)	10.046	Salinity	29.455	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 18:17	SST (C)	9.142	Salinity	29.763	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/13/2019 21:17	SST (C)	9.382	Salinity	29.701	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 00:17	SST (C)	9.662	Salinity	29.626	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 03:17	SST (C)	10.337	Salinity	29.482	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 06:17	SST (C)	9.134	Salinity	29.765	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 09:17	SST (C)	9.034	Salinity	29.766	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 12:17	SST (C)	9.093	Salinity	29.771	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 15:17	SST (C)	10.619	Salinity	29.341	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 18:17	SST (C)	10.017	Salinity	29.527	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/14/2019 21:17	SST (C)	9.466	Salinity	29.706	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 00:17	SST (C)	10.727	Salinity	29.32	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 03:17	SST (C)	10.637	Salinity	29.352	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 06:17	SST (C)	10.573	Salinity	29.345	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 09:17	SST (C)	8.991	Salinity	29.757	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 12:17	SST (C)	9.852	Salinity	29.575	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 15:17	SST (C)	10.794	Salinity	29.256	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 18:17	SST (C)	10.231	Salinity	29.45	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/15/2019 21:17	SST (C)	9.086	Salinity	29.715	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 00:17	SST (C)	9.367	Salinity	29.765	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 03:17	SST (C)	8.514	Salinity	29.872	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 06:17	SST (C)	9.625	Salinity	29.646	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 09:17	SST (C)	9.345	Salinity	29.723	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 12:17	SST (C)	9.384	Salinity	29.747	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 15:17	SST (C)	9.13	Salinity	29.752	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 18:17	SST (C)	10.679	Salinity	29.299	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/16/2019 21:17	SST (C)	9.455	Salinity	29.697	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 00:17	SST (C)	9.43	Salinity	29.734	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 03:17	SST (C)	9.545	Salinity	29.62	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 06:17	SST (C)	10.536	Salinity	29.371	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 09:17	SST (C)	9.009	Salinity	29.771	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 12:17	SST (C)	10.289	Salinity	29.367	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 15:17	SST (C)	10.596	Salinity	29.198	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 18:17	SST (C)	10.627	Salinity	28.597	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/17/2019 21:17	SST (C)	9.447	Salinity	29.616	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 00:17	SST (C)	9.751	Salinity	29.472	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 03:17	SST (C)	10.4	Salinity	29.12	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 06:17	SST (C)	9.198	Salinity	29.591	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 09:17	SST (C)	9.434	Salinity	29.673	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 12:17	SST (C)	9.664	Salinity	29.596	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/18/2019 15:17	SST (C)	10.78	Salinity	28.746	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/22/2019 18:17	SST (C)	10.778	Salinity	29.233	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/22/2019 21:17	SST (C)	11.172	Salinity	29.205	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 00:17	SST (C)	10.131	Salinity	29.317	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 03:17	SST (C)	10.091	Salinity	29.435	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 06:17	SST (C)	9.373	Salinity	29.596	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 09:17	SST (C)	10.489	Salinity	29.346	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 12:17	SST (C)	9.178	Salinity	29.714	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 15:17	SST (C)	8.989	Salinity	29.741	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 18:17	SST (C)	10.925	Salinity	29.236	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/23/2019 21:17	SST (C)	9.74	Salinity	29.521	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 00:17	SST (C)	9.444	Salinity	29.608	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 03:17	SST (C)	9.284	Salinity	29.693	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 06:17	SST (C)	8.903	Salinity	29.854	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 09:17	SST (C)	8.817	Salinity	29.869	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 12:17	SST (C)	9.056	Salinity	29.791	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 15:17	SST (C)	8.857	Salinity	29.861	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 18:17	SST (C)	8.779	Salinity	29.861	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/24/2019 21:17	SST (C)	8.976	Salinity	29.917	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 00:17	SST (C)	8.443	Salinity	30.05	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 03:17	SST (C)	9.989	Salinity	29.725	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 06:17	SST (C)	9.211	Salinity	29.846	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 09:17	SST (C)	9.568	Salinity	29.844	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 12:17	SST (C)	9.031	Salinity	29.876	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 15:17	SST (C)	9.909	Salinity	29.661	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 18:17	SST (C)	9.774	Salinity	29.739	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/25/2019 21:17	SST (C)	10.273	Salinity	29.655	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 00:17	SST (C)	11.741	Salinity	29.315	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 03:17	SST (C)	11.796	Salinity	29.244	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 06:17	SST (C)	10.468	Salinity	29.615	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 09:17	SST (C)	10.722	Salinity	29.573	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 12:17	SST (C)	11.361	Salinity	29.408	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 15:17	SST (C)	11.721	Salinity	29.082	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 18:17	SST (C)	9.682	Salinity	29.787	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/26/2019 21:17	SST (C)	11.769	Salinity	29.208	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/27/2019 00:17	SST (C)	11.216	Salinity	29.526	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/27/2019 03:17	SST (C)	11.503	Salinity	29.371	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
05/27/2019 06:17	SST (C)	11.714	Salinity	29.293	3	"SBE16 data unavailable, corrected OTT PLS-C data used"
